name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Pentium G850,,2,2.9,,65,Intel HD Graphics,false
Intel Pentium G860,,2,3,,65,Intel HD Graphics,false
AMD Phenom II X4 970,,4,3.5,,125,,false
Intel Pentium G870,77,2,3.1,,65,Intel HD Graphics,false
Intel Pentium G645,83,2,2.9,,65,Intel HD Graphics 2500,false
Intel Celeron G465,,2,1.9,,35,Intel HD Graphics,false
Intel Xeon E3-1270,,4,3.4,,80,,true
Intel Celeron G1620,,2,2.7,,55,Intel HD Graphics,false
AMD Athlon X4 740,,4,3.2,,65,,false
Intel Pentium G3430,,2,3.3,,54,Intel HD Graphics,false
AMD A10-6790K,,4,4,4.3,100,Radeon HD 8670D,false
AMD FX-9370,,8,4.4,4.7,220,,false
Intel Core i3-4360,,2,3.7,,54,Intel HD Graphics 4600,true
AMD FX-4300,,4,3.8,,95,,false
Intel Xeon E5-2630,,6,2.3,,95,,true
AMD Athlon X4 860K,,4,3.7,4,95,,false
AMD Pro A6-7400B,,2,3.5,3.9,65,Radeon R5 (on die),false
AMD Athlon X4 840,,4,3.1,3.8,65,,false
AMD Athlon X2 450,,2,3.5,3.9,65,,false
AMD Phenom II X2 B59,,2,3.4,,80,,false
Intel Pentium G3460,77.45,2,3.5,,53,Intel HD Graphics,false
Intel Xeon E5-2609 V3,250.03,6,1.9,,85,,false
Intel Xeon E5-2603 V3,,6,1.6,,85,,false
Intel Xeon E5-2650L V3,,12,1.8,2.5,65,,true
Intel Core i5-4570S,,4,2.9,,65,Intel HD Graphics 4600,false
Intel Core i3-6300T,,2,3.3,,35,Intel HD Graphics 530,true
Intel Pentium G4400T,,2,2.9,,35,Intel HD Graphics 510,false
Intel Pentium G4500T,,2,3,,35,Intel HD Graphics 530,false
Intel Xeon E3-1260L V5,,4,2.9,3.9,45,,true
Intel Pentium G3260,,2,3.3,,53,Intel HD Graphics,false
Intel Xeon E5-2658 V3,,12,2.2,2.9,105,,true
Intel Celeron G3930,102.81,2,2.9,,51,Intel HD Graphics 610,false
Intel Pentium G4600T,,2,3,,35,Intel HD Graphics 630,true
Intel Core i3-7100T,,2,3.4,,35,Intel HD Graphics 630,true
Intel Core i5-7500T,199.95,4,2.7,3.3,35,Intel HD Graphics 630,false
Intel Core i7-7820X,,8,3.6,4.5,140,,true
Intel Core i7-7740X,,4,4.3,4.5,112,,true
Intel Core i5-7640X,,4,4,4.2,112,,false
AMD A8-7650K,,4,3.3,3.7,95,Radeon R7 (on-die),false
Intel Xeon E3-1240 V6,429.95,4,3.7,4.1,72,,true
Intel Xeon E3-1275 V6,,4,3.8,4.2,73,Intel HD Graphics P630,true
AMD A6-9550,,2,3.8,4,65,Radeon R5 (on die),false
Intel Celeron G4920,,2,3.2,,65,Intel UHD Graphics 610,false
Intel Pentium Gold G5500T,,2,3.2,,35,Intel UHD Graphics 630,true
Intel Core i9-9820X,,10,3.3,4.1,165,,true
Intel Xeon E5-2660,,8,2.2,3,95,,true
Intel Core i3-9350K,,4,4,4.6,91,Intel HD Graphics 630,false
Intel Xeon E-2174G,,4,3.8,4.7,71,Intel HD Graphics P630,true
Intel Xeon E-2134,,4,3.5,4.5,71,,true
Intel Xeon E-2146G,949.69,6,3.5,4.5,80,Intel HD Graphics P630,true
Intel Pentium G550,,2,2.6,,65,Intel HD Graphics,false
Intel Xeon E3-1275 V5,,4,3.6,4,80,Intel HD Graphics P530,true
Intel Core i3-7300T,,2,3.5,,35,Intel HD Graphics 630,true
Intel Core i3-7300T,,2,3.5,,35,Intel HD Graphics 630,true
AMD Athlon II X3 425,,3,2.7,,95,,false
AMD Phenom II X2 555 Black,,2,3.2,,80,,false
AMD Athlon II X4 635,,4,2.9,,95,,false
AMD Phenom II X4 805,,4,2.5,,95,,false
AMD Phenom II X4 945,,4,3,,125,,false
AMD Athlon II X3 400e,,3,2.2,,45,,false
AMD Phenom II X3 705e,,3,2.5,,65,,false
AMD Phenom II X3 720 Black,,3,2.8,,95,,false
AMD Phenom II X3 740 Black,,3,3,,95,,false
AMD Phenom II X4 965 Black (140W),,4,3.4,,140,,false
Intel Celeron E1200,,2,1.6,,65,,false
Intel Celeron E1500,,2,2.2,,65,,false
Intel Pentium E2140,,2,1.6,,65,,false
Intel Pentium E2140,,2,1.6,,65,,false
Intel Pentium E2180,,2,2,,65,,false
Intel Pentium E2200,,2,2.2,,65,,false
Intel Pentium E2220,,2,2.4,,65,,false
Intel Celeron E3300,,2,2.5,,65,,false
Intel Core 2 Duo E4400,,2,2,,65,,false
Intel Core 2 Duo E6550,,2,2.33,,65,,false
Intel Core 2 Duo E6550,,2,2.33,,65,,false
Intel Core 2 Duo E6850,,2,3,,65,,false
Intel Core 2 Duo E7400,,2,2.8,,65,,false
Intel Core 2 Duo E7500,,2,2.93,,65,,false
Intel Core i7-930,,4,2.8,,130,,true
Intel Core 2 Quad Q8200,,4,2.33,,95,,false
Intel Core 2 Quad Q9450,,4,2.66,,95,,false
Intel Core 2 Quad Q9650,,4,3,,95,,false
